name,price,price_old,badge,date_range,url,product_code,out_of_stock,platform,nsuid,source,discount_amount
Marvel’s Wolverine - PS5,69.99,,PRE-ORDER,,https://direct.playstation.com/en-gb/buy-games/marvels-wolverine-ps5,1000057436-GB,False,PS5,,PlayStation,
Ghost of Yotei™ - Collector’s Edition - PS5,204.99,,EXCLUSIVE,,https://direct.playstation.com/en-gb/buy-games/ghost-of-yotei-collectors-edition-ps5,1000049375-GB,False,PS5,,PlayStation,
DEATH STRANDING 2: ON THE BEACH - Collector’s Edition - PS5,219.99,,EXCLUSIVE,,https://direct.playstation.com/en-gb/buy-games/death-stranding-2-on-the-beach-collectors-edition-ps5,1000048721-GB,False,PS5,,PlayStation,
Marvel's Spider-Man 2 Collector's Edition – PS5,219.99,,EXCLUSIVE,,https://direct.playstation.com/en-gb/buy-games/marvels-spider-man-2-collectors-edition-ps5,1000039370-GB,False,PS5,,PlayStation,
Star Fox,41.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/Star-Fox-3094728.html,70010000123168,,Nintendo Switch 2,70010000123168,Nintendo,
Super Mario Bros. Wonder – Nintendo Switch 2 Edition + Meetup in Bellabel Park,16.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-Edition/Super-Mario-Bros-Wonder-Nintendo-Switch-2-Edition-Meetup-in-Bellabel-Park-2915162.html,70010000115568,,Nintendo Switch 2,70010000115568,Nintendo,
Pokémon Pokopia,58.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/Pokemon-Pokopia-2915161.html,70010000107422,,Nintendo Switch 2,70010000107422,Nintendo,
Mario Kart World,66.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/Mario-Kart-World-2790000.html,70010000096802,,Nintendo Switch 2,70010000096802,Nintendo,
Yoshi and the Mysterious Book,49.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/Yoshi-and-the-Mysterious-Book-2915259.html,70010000119860,,Nintendo Switch 2,70010000119860,Nintendo,
Donkey Kong Bananza,58.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/Donkey-Kong-Bananza-2785804.html,70010000096810,,Nintendo Switch 2,70010000096810,Nintendo,
Resident Evil Requiem,64.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/Resident-Evil-Requiem-2915501.html,70010000101676,,Nintendo Switch 2,70010000101676,Nintendo,
Pokémon Legends: Z-A – Nintendo Switch 2 Edition,7.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-Edition/Pokemon-Legends-Z-A-Nintendo-Switch-2-Edition-2827849.html,70010000099366,,Nintendo Switch 2,70010000099366,Nintendo,
Animal Crossing: New Horizons – Nintendo Switch 2 Edition,4.19,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-Edition/Animal-Crossing-New-Horizons-Nintendo-Switch-2-Edition-2950861.html,70010000110441,,Nintendo Switch 2,70010000110441,Nintendo,
FINAL FANTASY VII REBIRTH,49.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/FINAL-FANTASY-VII-REBIRTH-3016562.html,70010000112478,,Nintendo Switch 2,70010000112478,Nintendo,
EA SPORTS FC™ 26,39.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/EA-SPORTS-FC-26-2873781.html,70010000100268,,Nintendo Switch 2,70010000100268,Nintendo,
Super Mario Party Jamboree – Nintendo Switch 2 Edition + Jamboree TV,16.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-Edition/Super-Mario-Party-Jamboree-Nintendo-Switch-2-Edition-Jamboree-TV-2785806.html,70010000096826,,Nintendo Switch 2,70010000096826,Nintendo,
Tomodachi Life: Living the Dream,49.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Tomodachi-Life-Living-the-Dream-2786386.html,70010000116664,,Nintendo Switch,70010000116664,Nintendo,
Mario Kart 8 Deluxe,49.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/Mario-Kart-8-Deluxe-1173281.html,70010000000126,,Nintendo Switch,70010000000126,Nintendo,
Super Mario Galaxy + Super Mario Galaxy 2,58.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/Super-Mario-Galaxy-Super-Mario-Galaxy-2-2915270.html,70070000030726,,Nintendo Switch,70070000030726,Nintendo,
Super Smash Bros. Ultimate,59.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/Super-Smash-Bros-Ultimate-1395713.html,70010000012331,,Nintendo Switch,70010000012331,Nintendo,
Splatoon 3,49.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/Splatoon-3-1924751.html,70010000046396,,Nintendo Switch,70010000046396,Nintendo,
Pikmin 4,49.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/Pikmin-4-2267217.html,70010000005306,,Nintendo Switch,70010000005306,Nintendo,
Super Mario Odyssey,49.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/Super-Mario-Odyssey-1173332.html,70010000000127,,Nintendo Switch,70010000000127,Nintendo,
The Legend of Zelda: Tears of the Kingdom,59.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/The-Legend-of-Zelda-Tears-of-the-Kingdom-1576884.html,70010000063715,,Nintendo Switch,70010000063715,Nintendo,
Mega City Force,12.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Mega-City-Force-3145222.html,70010000093178,,Nintendo Switch,70010000093178,Nintendo,
Hearthwater,3.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Hearthwater-3158193.html,70010000130768,,Nintendo Switch,70010000130768,Nintendo,
Kero Kero Cowboy,8.99,7.64,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Kero-Kero-Cowboy-3176683.html,70010000126803,,Nintendo Switch,70010000126803,Nintendo,-1.3500000000000005
Chained Up Together: Co-Op Duo,4.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Chained-Up-Together-Co-Op-Duo-3172086.html,70010000124215,,Nintendo Switch,70010000124215,Nintendo,
With Eyes of Ice,14.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/With-Eyes-of-Ice-3174442.html,70010000093241,,Nintendo Switch,70010000093241,Nintendo,
Dino Hex Trap,4.49,3.14,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Dino-Hex-Trap-3156342.html,70010000127486,,Nintendo Switch,70010000127486,Nintendo,-1.35
Emoji Killer â Casino Massacre,4.99,2.49,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Emoji-Killer-Casino-Massacre-3174797.html,70010000118193,,Nintendo Switch,70010000118193,Nintendo,-2.5
"EGGCONSOLE THE LEGEND OF HEROES III: ""White Witch"" Renewal PC-9801",5.49,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/EGGCONSOLE-THE-LEGEND-OF-HEROES-III-White-Witch-Renewal-PC-9801-3174255.html,70010000103875,,Nintendo Switch,70010000103875,Nintendo,
Suncroft,3.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Suncroft-3154862.html,70010000132194,,Nintendo Switch,70010000132194,Nintendo,
Mireglow,4.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Mireglow-3170800.html,70010000130588,,Nintendo Switch,70010000130588,Nintendo,
Horror Prison: Escape,3.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Horror-Prison-Escape-3171926.html,70010000132577,,Nintendo Switch,70010000132577,Nintendo,
Farm 2+,,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Farm-2-3153925.html,,,Nintendo Switch,,Nintendo,
Blocky Powers,6.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Blocky-Powers-3169988.html,70010000132171,,Nintendo Switch,70010000132171,Nintendo,
House Cleaner Simulator,8.99,,,,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/House-Cleaner-Simulator-3173092.html,70010000127085,,Nintendo Switch,70010000127085,Nintendo,
