name,platform,url,nsuid,price,price_old,badge,date_range,product_code,out_of_stock,source
Star Fox,Nintendo Switch 2,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/Star-Fox-3094728.html,70010000123168,41.99,,,,70010000123168,,Nintendo
Super Mario Bros. Wonder – Nintendo Switch 2 Edition + Meetup in Bellabel Park,Nintendo Switch 2,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-Edition/Super-Mario-Bros-Wonder-Nintendo-Switch-2-Edition-Meetup-in-Bellabel-Park-2915162.html,70010000115568,16.99,,,,70010000115568,,Nintendo
Pokémon Pokopia,Nintendo Switch 2,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/Pokemon-Pokopia-2915161.html,70010000107422,58.99,,,,70010000107422,,Nintendo
Mario Kart World,Nintendo Switch 2,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/Mario-Kart-World-2790000.html,70010000096802,66.99,,,,70010000096802,,Nintendo
Yoshi and the Mysterious Book,Nintendo Switch 2,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/Yoshi-and-the-Mysterious-Book-2915259.html,70010000119860,49.99,,,,70010000119860,,Nintendo
Donkey Kong Bananza,Nintendo Switch 2,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/Donkey-Kong-Bananza-2785804.html,70010000096810,58.99,,,,70010000096810,,Nintendo
Resident Evil Requiem,Nintendo Switch 2,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/Resident-Evil-Requiem-2915501.html,70010000101676,64.99,,,,70010000101676,,Nintendo
Pokémon Legends: Z-A – Nintendo Switch 2 Edition,Nintendo Switch 2,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-Edition/Pokemon-Legends-Z-A-Nintendo-Switch-2-Edition-2827849.html,70010000099366,7.99,,,,70010000099366,,Nintendo
Animal Crossing: New Horizons – Nintendo Switch 2 Edition,Nintendo Switch 2,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-Edition/Animal-Crossing-New-Horizons-Nintendo-Switch-2-Edition-2950861.html,70010000110441,4.19,,,,70010000110441,,Nintendo
FINAL FANTASY VII REBIRTH,Nintendo Switch 2,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/FINAL-FANTASY-VII-REBIRTH-3016562.html,70010000112478,49.99,,,,70010000112478,,Nintendo
EA SPORTS FC™ 26,Nintendo Switch 2,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/EA-SPORTS-FC-26-2873781.html,70010000100268,39.99,,,,70010000100268,,Nintendo
Super Mario Party Jamboree – Nintendo Switch 2 Edition + Jamboree TV,Nintendo Switch 2,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-Edition/Super-Mario-Party-Jamboree-Nintendo-Switch-2-Edition-Jamboree-TV-2785806.html,70010000096826,16.99,,,,70010000096826,,Nintendo
Tomodachi Life: Living the Dream,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Tomodachi-Life-Living-the-Dream-2786386.html,70010000116664,49.99,,,,70010000116664,,Nintendo
Mario Kart 8 Deluxe,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/Mario-Kart-8-Deluxe-1173281.html,70010000000126,49.99,,,,70010000000126,,Nintendo
Super Mario Galaxy + Super Mario Galaxy 2,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/Super-Mario-Galaxy-Super-Mario-Galaxy-2-2915270.html,70070000030726,58.99,,,,70070000030726,,Nintendo
Super Smash Bros. Ultimate,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/Super-Smash-Bros-Ultimate-1395713.html,70010000012331,59.99,,,,70010000012331,,Nintendo
Splatoon 3,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/Splatoon-3-1924751.html,70010000046396,49.99,,,,70010000046396,,Nintendo
Pikmin 4,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/Pikmin-4-2267217.html,70010000005306,49.99,,,,70010000005306,,Nintendo
Super Mario Odyssey,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/Super-Mario-Odyssey-1173332.html,70010000000127,49.99,,,,70010000000127,,Nintendo
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-games/The-Legend-of-Zelda-Tears-of-the-Kingdom-1576884.html,70010000063715,59.99,,,,70010000063715,,Nintendo
Mega City Force,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Mega-City-Force-3145222.html,70010000093178,12.99,,,,70010000093178,,Nintendo
Hearthwater,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Hearthwater-3158193.html,70010000130768,3.99,,,,70010000130768,,Nintendo
Kero Kero Cowboy,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Kero-Kero-Cowboy-3176683.html,70010000126803,8.99,7.64,,,70010000126803,,Nintendo
Chained Up Together: Co-Op Duo,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Chained-Up-Together-Co-Op-Duo-3172086.html,70010000124215,4.99,,,,70010000124215,,Nintendo
With Eyes of Ice,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/With-Eyes-of-Ice-3174442.html,70010000093241,14.99,,,,70010000093241,,Nintendo
Dino Hex Trap,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Dino-Hex-Trap-3156342.html,70010000127486,4.49,3.14,,,70010000127486,,Nintendo
Emoji Killer â Casino Massacre,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Emoji-Killer-Casino-Massacre-3174797.html,70010000118193,4.99,2.49,,,70010000118193,,Nintendo
"EGGCONSOLE THE LEGEND OF HEROES III: ""White Witch"" Renewal PC-9801",Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/EGGCONSOLE-THE-LEGEND-OF-HEROES-III-White-Witch-Renewal-PC-9801-3174255.html,70010000103875,5.49,,,,70010000103875,,Nintendo
Suncroft,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Suncroft-3154862.html,70010000132194,3.99,,,,70010000132194,,Nintendo
Mireglow,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Mireglow-3170800.html,70010000130588,4.99,,,,70010000130588,,Nintendo
Horror Prison: Escape,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Horror-Prison-Escape-3171926.html,70010000132577,3.99,,,,70010000132577,,Nintendo
Farm 2+,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Farm-2-3153925.html,,,,,,,,Nintendo
Blocky Powers,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Blocky-Powers-3169988.html,70010000132171,6.99,,,,70010000132171,,Nintendo
House Cleaner Simulator,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/House-Cleaner-Simulator-3173092.html,70010000127085,8.99,,,,70010000127085,,Nintendo
Apidyaâ Special,Nintendo Switch,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-download-software/Apidya-Special-3152659.html,70010000120256,17.99,,,,70010000120256,,Nintendo
Funguys Swarm,Nintendo Switch 2,https://www.nintendo.co.uk/en-gb/Games/Nintendo-Switch-2-games/Funguys-Swarm-3172074.html,70010000129212,7.99,,,,70010000129212,,Nintendo
